,best_match_score,ID,client,Record,ipAddress,hostname,alias_list,address_list,content-length,url,User-Agent,HTTPMethods,HTTPVersion,datetime
432248,0.05408542631401276,5850,5.215.3.234,271819.0,5.215.234.126,5.215.3.234,[Errno 1] Unknown host,,3975.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:37:46+0330]
384852,0.05408217699083013,5230,5.214.116.74,285557.0,5.74.217.116,5.214.116.74,[Errno 1] Unknown host,,43493.0,https://emalls.ir/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:43:31+0330]
42068,0.05407637199617998,623,5.215.114.243,591572.0,5.114.243.249,5.215.114.243,[Errno 1] Unknown host,,3975.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:40:10+0330]
207502,0.05407006566635648,2805,89.199.146.231,561953.0,89.199.146.4,89.199.146.231,[Errno 1] Unknown host,,20689.0,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:29:01+0330]
256717,0.054027971405128404,3473,176.65.180.184,300711.0,176.65.180.173,176.65.180.184,[Errno 1] Unknown host,,5852.0,https://torob.com/p/1e48bca8-c2da-4ecc-9358-7a73305e512d/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:49:12+0330]
9477,0.0539984886775807,133,192.15.230.37,492158.0,192.15.64.37,192.15.230.37,[Errno 1] Unknown host,,16782.0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:03:14+0330]
237900,0.053979002265970154,3205,158.58.125.193,294124.0,5.125.157.193,158.58.125.193,[Errno 1] Unknown host,,5852.0,https://torob.com/p/a0837a5d-a004-45a7-a113-89f92caa078e/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:46:46+0330]
328015,0.0539637629941472,4445,5.127.134.67,295181.0,5.127.67.188,5.127.134.67,[Errno 1] Unknown host,,0.0,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/browse/electric-shavers/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:47:19+0330]
187281,0.05395252506408535,2503,83.123.202.105,883924.0,83.123.144.202,83.123.202.105,[Errno 1] Unknown host,,19471.0,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/browse/tv/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:27:40+0330]
309923,0.05390897790041412,4200,5.214.134.180,276340.0,5.122.180.134,5.214.134.180,[Errno 1] Unknown host,,6030.0,https://torob.com/search/?query=,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:39:53+0330]
264035,0.05390238128981368,3578,5.116.193.145,51449.0,5.116.37.145,5.116.193.145,[Errno 1] Unknown host,,4803.0,-,torob/5 CFNetwork/976 Darwin/18.2.0,GET ,HTTP/1.1,[22/Jan/2019:07:03:10+0330]
430248,0.05388792342949146,5823,37.129.132.98,378993.0,37.129.98.79,37.129.132.98,[Errno 1] Unknown host,,133.0,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/article/616/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:10:20:49+0330]
48195,0.0538872589264109,713,89.235.85.75,1007629.0,89.235.85.161,89.235.85.75,[Errno 1] Unknown host,,133.0,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/browse/shahnameh-ferdosi/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:14:14:47+0330]
387940,0.05386206629607217,5265,46.51.65.71,305551.0,46.51.119.65,46.51.65.71,[Errno 1] Unknown host,,3331.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:51:04+0330]
382393,0.0538286052380348,5195,176.65.160.79,816739.0,176.65.160.105,176.65.160.79,[Errno 1] Unknown host,,133.0,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/browse/handy-crafts/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:02:14+0330]
360236,0.05380190907580291,4890,95.38.175.3,509719.0,95.38.14.3,95.38.175.3,[Errno 1] Unknown host,,42964.0,https://www.zanbil.ir/product/33614/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:09:49+0330]
156536,0.053778882567063445,2118,83.123.78.198,931752.0,83.123.154.78,83.123.78.198,[Errno 1] Unknown host,,14491.0,https://www-zanbil-ir.cdn.ampproject.org/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:46:13+0330]
184027,0.05376823632539636,2469,31.58.66.20,465560.0,31.58.249.66,31-58-66-20.shatel.ir,['31.58.66.20'],,3975.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:10:53:42+0330]
409329,0.05376612928579685,5551,2.182.110.97,612145.0,2.182.110.50,2.182.110.97,[Errno 1] Unknown host,,9222.0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:46:33+0330]
205964,0.05376551521646322,2784,151.239.18.250,909824.0,151.239.77.18,151-239-18-250.shatel.ir,['151.239.18.250'],,33569.0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:37:52+0330]
278448,0.05375425581843988,3779,2.179.67.132,413049.0,2.179.67.12,2.179.67.132,[Errno 1] Unknown host,,3788.0,https://torob.com/search/?query=s8,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:10:33:21+0330]
421073,0.0537110122912552,5710,5.234.220.253,23346.0,5.78.220.234,5.234.220.253,[Errno 1] Unknown host,,0.0,http://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:05:31:42+0330]
438618,0.05370775726092996,5958,5.115.67.118,880875.0,5.115.37.118,5.115.67.118,[Errno 1] Unknown host,,133.0,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/product/33597/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:26:36+0330]
4779,0.05366637705420898,73,2.191.227.144,251798.0,2.191.144.18,2.191.227.144,[Errno 1] Unknown host,,3294.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:27:29+0330]
404992,0.05363082974852399,5470,5.120.116.18,139762.0,5.120.217.18,5.120.116.18,[Errno 1] Unknown host,,133.0,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/browse/sports-watches/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:08:29:37+0330]
27121,0.05363074874914052,401,5.106.144.25,870128.0,5.121.25.144,5.106.144.25,[Errno 1] Unknown host,,7669.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:22:39+0330]
386501,0.05362189247489462,5248,66.79.103.55,972890.0,66.79.103.182,66.79.103.55,[Errno 1] Unknown host,,21066.0,http://www.google.com/search?client=ms-android-samsung&source=android-home&source=hp&ei=efFGXMifF9KJlwS47LKYDw&q=+,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:14:00:38+0330]
342774,0.05359230522777633,4630,5.117.120.11,838199.0,5.120.117.46,5.117.120.11,[Errno 1] Unknown host,,5852.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:10:48+0330]
269950,0.05356946191270929,3648,37.148.100.63,59538.0,37.148.100.207,37-148-100-63.shatel.ir,['37.148.100.63'],,178.0,http://www.angabin.ir/incorrect-beliefs/32-shekarag.html,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:07:19:51+0330]
432977,0.05356873848673461,5859,83.123.126.2,119946.0,83.123.2.80,83.123.126.2,[Errno 1] Unknown host,,3294.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:08:16:27+0330]
95377,0.05356197961320703,1339,5.116.157.79,32406.0,5.116.98.157,5.116.157.79,[Errno 1] Unknown host,,3975.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:06:06:08+0330]
219516,0.05343801314543658,2981,5.209.190.52,21297.0,5.209.249.190,5.209.190.52,[Errno 1] Unknown host,,4088.0,https://torob.com/p/28de4f36-9896-466f-9d89-c0f182a1fd51/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:05:23:05+0330]
275666,0.05340252370640794,3735,5.237.214.79,124906.0,5.214.237.13,5.237.214.79,[Errno 1] Unknown host,,3975.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:08:19:30+0330]
436867,0.05340249480824587,5936,5.238.30.52,265100.0,5.238.249.30,5.238.30.52,[Errno 1] Unknown host,,31583.0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:34:32+0330]
208394,0.05339859733285219,2819,5.122.33.248,582008.0,5.122.248.37,5.122.33.248,[Errno 1] Unknown host,,3975.0,-,Dalvik/1.6.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:37:01+0330]
104366,0.05339760579487382,1470,37.254.241.48,278840.0,37.254.241.79,37.254.241.48,[Errno 1] Unknown host,,133.0,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/article/606/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:40:54+0330]
11988,0.053353918942980035,181,5.119.191.186,218171.0,5.119.99.191,5.119.191.186,[Errno 1] Unknown host,,4328.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:11:17+0330]
194232,0.05334092281341945,2586,188.229.46.250,1023854.0,188.229.46.94,188.229.46.250,[Errno 1] Unknown host,,20440.0,"https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/filter/b2,p3,t11?amp_js_v=0.1&usqp=mq331AQECAEoAQ",Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:14:21:35+0330]
187457,0.05331147606936514,2505,5.238.44.30,265100.0,5.238.249.30,5.238.44.30,[Errno 1] Unknown host,,31583.0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:34:32+0330]
428503,0.053243282311194545,5805,151.239.31.126,687807.0,151.239.31.77,151-239-31-126.shatel.ir,['151.239.31.126'],,32527.0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:14:59+0330]
427964,0.05322908785519951,5800,5.218.143.57,550604.0,5.218.188.143,5.218.143.57,[Errno 1] Unknown host,,133.0,"https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/filter/b258,p8870?amp_js_v=0.1&usqp=mq331AQECAEoAQ",Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:24:33+0330]
410461,0.05321864587837243,5565,40.77.188.54,27572.0,40.77.188.114,msnbot-40-77-188-54.search.msn.com,['40.77.188.54'],,3433.0,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:05:47:36+0330]
296355,0.05317408385199099,4011,31.58.207.186,822223.0,31.58.193.186,31-58-207-186.shatel.ir,['31.58.207.186'],,33843.0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:04:24+0330]
78288,0.05310830311829778,1104,5.115.3.74,45425.0,5.74.115.77,5.115.3.74,[Errno 1] Unknown host,,4304.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:06:47:54+0330]
